что-либо становится жертвой чего-либо	etwas fällt einer Sache zum Opfer	als Folge wegfallen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
каждая минута на счету	auf jede Minute ankommen	die Zeit ist äußerst knapp	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
превратить что-либо в своего рода спорт	einen Sport aus etwas machen	eine Tätigkeit zum Wettbewerb machen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
сделать что-либо в ускоренном режиме	etwas im Schnelldurchlauf erledigen	sehr rasch abarbeiten	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
свести что-либо на нет	etwas zunichtemachen	vollständig vereiteln	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
сэкономить драгоценные секунды	wertvolle Sekunden einsparen	weniger Zeit benötigen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
если нужен по-настоящему мощный эффект	wenn es richtig reinhauen soll	ugs.: besonders stark wirken	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
быть лишь началом	nur ein Anfang sein	erst der erste Schritt	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
почти не требовать технического обслуживания	weitgehend wartungsfrei sein	kaum Pflege benötigen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
ставить кому-либо что-либо в вину	jemandem etwas zur Last legen	jemanden dafür verantwortlich machen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
годами пытаться найти поддержку своей идее	mit einer Idee hausieren gehen	überall um Geldgeber werben	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
ошеломляющий успех	ein überwältigender Erfolg	weit über den Erwartungen liegen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
одной хорошей идеи недостаточно	mit einer guten Idee allein ist es nicht getan	mehr als einen Einfall benötigen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
иметь что-либо в виду, замышлять что-либо	etwas im Sinn haben	beabsichtigen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
держаться подальше от чего-либо	die Finger von etwas lassen	bewusst meiden	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
обеспечивать некоторое сцепление	für eine Art Haftung sorgen	eine schwache Klebewirkung hervorrufen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
быть забытым в каком-нибудь ящике стола	in irgendeiner Schublade vergessen werden	unbeachtet abgelegt bleiben	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
стать неотъемлемой частью чего-либо	aus etwas nicht mehr wegzudenken sein	unverzichtbar geworden sein	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
не знать, что делать с чем-либо	nichts mit etwas anzufangen wissen	keine Verwendung dafür kennen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
по ошибке, случайно	aus Versehen	unbeabsichtigt	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
сильно удивиться	nicht schlecht staunen	sehr überrascht sein	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
наткнуться на большое количество мусора	auf reichlich Abfall stoßen	unerwartet viel Unrat entdecken	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
проделать долгий путь	eine weite Reise hinter sich haben	bereits lange unterwegs gewesen sein	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
перенести что-либо в новые места обитания	etwas in neue Lebensräume verfrachten	Organismen an andere Orte transportieren	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
добавить новые фрагменты к общей картине	neue Mosaiksteine für ein Bild liefern	weitere Einzelbefunde beisteuern	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
составить представление о последствиях	sich ein Bild von den Folgen machen	die Auswirkungen gedanklich erfassen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
по оценкам, более десяти процентов	schätzungsweise mehr als zehn Prozent	eine ungefähre Mengenangabe	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
быть небрежно разбросанным на местности	achtlos im Gelände verteilt werden	ohne Rücksicht weggeworfen werden	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
преодолевать большие расстояния	weite Strecken zurücklegen	sehr weit gelangen	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
полностью посвятить себя жизни на плавучих объектах	sich komplett dem Floßleben verschreiben	nur noch auf treibenden Objekten existieren	form::redewendung func::produktion topic::forschung_und_technik level::c2 source::erkundungen::c2::k5 card::chunk
