nur	erst	nur = Menge; erst = Zeit (bisher kurz)	только	только (пока)	Ich habe nur zwei Stunden gelernt.	Ich habe erst zwei Stunden gelernt.	Я учу всего два часа.	Я учу только два часа (пока).	Ich habe {{c1::erst}} zwei Stunden gelernt. (noch nicht lange)	contrast::adverbs;contrast::time
noch	noch immer	noch = neutral; noch immer = betont Dauer	ещё	всё ещё	Ich bin noch hier.	Ich bin noch immer hier.	Я ещё здесь.	Я всё ещё здесь.	Ich bin {{c1::noch immer}} hier. (lange Dauer)	contrast::adverbs;contrast::time
offenbar	offensichtlich	offenbar = Vermutung; offensichtlich = klar	по-видимому	очевидно	Er ist offenbar müde.	Er ist offensichtlich müde.	Он, по-видимому, устал.	Он очевидно устал.	Er ist {{c1::offenbar}} müde. (Vermutung)	contrast::adverbs;contrast::certainty
bringen	holen	bringen = hin; holen = holen + zurück	приносить	забирать	Ich bringe dir Wasser.	Ich hole Wasser.	Я приношу тебе воду.	Я иду за водой.	Ich {{c1::hole}} Wasser. (gehen + zurück)	contrast::verbs;contrast::direction
denken	nachdenken	denken = allgemein; nachdenken = reflektieren	думать	размышлять	Ich denke oft.	Ich denke darüber nach.	Я думаю часто.	Я размышляю об этом.	Ich {{c1::denke darüber nach}}. (reflektieren)	contrast::verbs;contrast::cognition
warten	abwarten	warten = warten; abwarten = bewusst warten	ждать	выжидать	Ich warte hier.	Warte ab!	Я жду здесь.	Подожди и увидишь.	Warte {{c1::ab}}! (bewusst warten)	contrast::verbs;contrast::nuance
empfinden	nachempfinden	empfinden = fühlen; nachempfinden = mitfühlen	чувствовать	сопереживать	Ich empfinde Freude.	Ich kann dich nachempfinden.	Я чувствую радость.	Я могу тебя понять.	Ich kann dich {{c1::nachempfinden}}. (mitfühlen)	contrast::verbs;contrast::emotion
leiden an	leiden unter	an = Krankheit; unter = Umstände	страдать от болезни	страдать от обстоятельств	Er leidet an Diabetes.	Er leidet unter Stress.	Он страдает диабетом.	Он страдает от стресса.	Er leidet {{c1::unter}} Stress. (Umstände)	contrast::verbs;contrast::prepositions
wirken	aussehen	wirken = Eindruck; aussehen = visuell	казаться	выглядеть	Er wirkt müde.	Er sieht müde aus.	Он кажется уставшим.	Он выглядит уставшим.	Er {{c1::wirkt}} müde. (Eindruck)	contrast::verbs;contrast::perception
schnell	vorschnell	schnell = neutral; vorschnell = unüberlegt	быстро	поспешно	Er reagiert schnell.	Er reagiert vorschnell.	Он реагирует быстро.	Он реагирует поспешно.	Er reagiert {{c1::vorschnell}}. (zu schnell)	contrast::adverbs;contrast::evaluation
Ansatz	Verlauf	Ansatz = Idee/Start; Verlauf = Entwicklung	подход	ход/развитие	Der Ansatz ist gut.	Der Verlauf war schwierig.	Подход хороший.	Ход был сложным.	Der {{c1::Verlauf}} war schwierig. (Entwicklung)	contrast::nouns;contrast::process
Maßstab	Ausmaß	Maßstab = Kriterium; Ausmaß = Größe	критерий	масштаб	Das ist der Maßstab.	Das Ausmaß ist groß.	Это критерий.	Масштаб большой.	Das {{c1::Ausmaß}} ist groß. (Größe)	contrast::nouns;contrast::abstract
Studie	Forschung	Studie = einzelne Untersuchung; Forschung = Prozess	исследование	научная деятельность	Die Studie zeigt Ergebnisse.	Er arbeitet in der Forschung.	Исследование показывает результаты.	Он работает в науке.	Er arbeitet in der {{c1::Forschung}}. (Prozess)	contrast::nouns;contrast::academic
Beschluss	Schluss	Beschluss = Entscheidung; Schluss = Ende	решение	конец	Der Beschluss wurde gefasst.	Am Schluss war alles klar.	Решение принято.	В конце всё было ясно.	Der {{c1::Beschluss}} wurde gefasst. (Entscheidung)	contrast::nouns;contrast::abstract
Anstieg	Aufstieg	Anstieg = Zahlen steigen; Aufstieg = nach oben	рост	подъём	Ein Anstieg der Preise.	Sein Aufstieg war schnell.	Рост цен.	Его подъём был быстрым.	Ein {{c1::Anstieg}} der Preise. (Zahlen)	contrast::nouns;contrast::movement
Verlauf	Vorlauf	Verlauf = während; Vorlauf = davor	ход	подготовка	Der Verlauf war ruhig.	Der Vorlauf war stressig.	Ход был спокойным.	Подготовка была напряжённой.	Der {{c1::Vorlauf}} war stressig. (davor)	contrast::nouns;contrast::time
verweisen auf	sich berufen auf	verweisen = hinweisen; berufen = Argument nutzen	ссылаться	апеллировать	Er verweist auf eine Studie.	Er beruft sich auf das Gesetz.	Он ссылается на исследование.	Он апеллирует к закону.	Er {{c1::beruft sich}} auf das Gesetz. (Argument)	contrast::verbs;contrast::formal
sich beschäftigen mit	sich befassen mit	beschäftigen = aktiv; befassen = theoretisch	заниматься	рассматривать	Ich beschäftige mich mit Deutsch.	Die Studie befasst sich mit dem Thema.	Я занимаюсь немецким.	Исследование рассматривает тему.	Die Studie {{c1::befasst sich}} mit dem Thema. (theoretisch)	contrast::verbs;contrast::style
handeln von	berichten über	handeln = Thema; berichten = Fakten	быть о	сообщать о	Der Film handelt von Liebe.	Die Zeitung berichtet über den Unfall.	Фильм о любви.	Газета сообщает об аварии.	Der Film {{c1::handelt}} von Liebe. (Thema)	contrast::verbs;contrast::content
pochen auf	bestehen auf	pochen = emotional; bestehen = neutral	настаивать (жёстко)	настаивать	Er pocht auf sein Recht.	Er besteht auf sein Recht.	Он жёстко настаивает.	Он настаивает.	Er {{c1::pocht}} auf sein Recht. (emotional)	contrast::verbs;contrast::tone
stabil	tragfähig	stabil = fest; tragfähig = funktioniert	стабильный	жизнеспособный	Der Tisch ist stabil.	Die Lösung ist tragfähig.	Стол устойчив.	Решение жизнеспособно.	Die Lösung ist {{c1::tragfähig}}. (funktioniert)	contrast::adjectives;contrast::concept
weiterhin	noch	weiterhin = formell; noch = Alltag	по-прежнему	ещё	Die Lage bleibt weiterhin schwierig.	Ich bin noch hier.	Ситуация остаётся сложной.	Я ещё здесь.	Die Lage bleibt {{c1::weiterhin}} schwierig. (formell)	contrast::adverbs;contrast::style
bei	an	bei = Nähe/Kontext; an = Kontakt/Fläche	у/при	на	Ich bin bei dir.	Ich sitze am Tisch.	Я у тебя.	Я сижу за столом.	Ich sitze {{c1::am}} Tisch. (Kontakt)	contrast::prepositions;contrast::basic
auf der Konferenz	während der Konferenz	auf = Event/Teilnahme; während = im Verlauf	на конференции	во время конференции	Ich war auf der Konferenz.	Während der Konferenz wurde das Thema mehrfach erwähnt.	Я был на конференции.	Во время конференции эту тему не раз упоминали.	Ich war {{c1::auf der Konferenz}}. (Event)	contrast::prepositions;contrast::event
während der Wahl	bei der Wahl	während = im Verlauf; bei = Anlass/Teilnahme	во время выборов	на выборах	Während der Wahl gab es Unregelmäßigkeiten.	Bei der Wahl habe ich abgestimmt.	Во время выборов были нарушения.	На выборах я голосовал.	Ich habe {{c1::bei der Wahl}} abgestimmt. (Teilnahme)	contrast::prepositions;contrast::event
