отражать фактические результаты	die erbrachte Leistung widerspiegeln	das tatsächliche Können abbilden	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
составлять примерно половину итоговой оценки	etwa die Hälfte der Beurteilung ausmachen	rund 50 Prozent beitragen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
тесно коррелировать друг с другом	eng miteinander korrelieren	statistisch stark zusammenhängen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
говорить о явной дискриминации	von einer offenen Benachteiligung sprechen	eine klare Schlechterstellung benennen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
сказываться на оценках	sich auf die Noten auswirken	die Bewertung beeinflussen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
показывать более низкие результаты на тестах	bei Leistungstests schlechter abschneiden	weniger erfolgreich sein	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
позволять судить о принадлежности к социальному слою	auf eine soziale Schicht schließen lassen	die Herkunft vermuten lassen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
испытывать трудности в школе	es in der Schule schwer haben	mit dem Unterricht kaum zurechtkommen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
при выставлении оценок поддаваться влиянию чего-либо	sich bei der Notenvergabe von etwas beeinflussen lassen	nicht objektiv beurteilen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
приписывать кому-либо отрицательные качества	jemandem negative Eigenschaften zuschreiben	eine Person ungünstig charakterisieren	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
независимо от социального статуса	unabhängig vom sozialen Status	ohne Rücksicht auf die gesellschaftliche Stellung	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
пророчить кому-либо мрачное будущее	jemandem eine düstere Zukunft prophezeien	ein negatives Schicksal vorhersagen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
отменить школьные оценки как критерий при приёме на работу	Schulnoten als Einstellungskriterium abschaffen	Bewerber nicht mehr nach Zeugnissen auswählen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
уделять основное внимание чему-либо	das Hauptaugenmerk auf etwas legen	einen Aspekt besonders beachten	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
терять значение, становиться менее важным	an Bedeutung verlieren	weniger wichtig werden	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
делать ставку на процедуру отбора	auf ein Auswahlverfahren setzen	diese Methode bevorzugen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
иметь приоритет перед школьными оценками	Vorrang vor Schulnoten haben	wichtiger als Zeugniswerte sein	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
определённые знания пользуются спросом	bestimmte Kenntnisse sind gefragt	auf dem Arbeitsmarkt erwünscht sein	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
найти общий знаменатель	einen gemeinsamen Nenner finden	eine gemeinsame Grundlage entdecken	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
одуматься, образумиться	zur Besinnung kommen	wieder vernünftig denken	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
быть следствием недостаточных усилий	an mangelndem Einsatz liegen	zu wenig Engagement als Ursache haben	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
показать себя не так хорошо	nicht so gut abschneiden	weniger erfolgreich sein	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
целый ряд недостатков	eine ganze Reihe von Nachteilen	viele negative Folgen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
дать возможность перейти в следующий класс	den Aufstieg in die nächste Klasse ermöglichen	die Wiederholung eines Schuljahres verhindern	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
быть тягостным переживанием	ein bedrückendes Erlebnis sein	emotional stark belasten	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
демонстрировать стремительное ухудшение	einen rapiden Abwärtstrend zeigen	sich sehr schnell negativ entwickeln	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
не отставать от новых одноклассников	mit den neuen Mitschülern mithalten	das gleiche Niveau erreichen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
порождать значительные дополнительные расходы	erhebliche Mehrkosten generieren	deutlich höhere Ausgaben verursachen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
получать пользу от индивидуальной поддержки	von individueller Förderung profitieren	durch persönliche Hilfe Fortschritte machen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
проходит строгий отбор	eine strenge Auswahl findet statt	nur wenige werden zugelassen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
распространиться с молниеносной скоростью	sich im Blitztempo durchsetzen	äußerst schnell üblich werden	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
со временем ослабевать	im Laufe der Zeit nachlassen	allmählich schwächer werden	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
до сих пор оставаться нерешённым	bis dato nicht gelöst sein	bisher offenbleiben	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
быть настоятельно необходимым	dringend erforderlich sein	unbedingt gebraucht werden	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
находиться под сильным давлением	unter starkem Druck stehen	erheblich belastet sein	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
бояться, что не переведут в следующий класс	um die Versetzung bangen	das Weiterkommen gefährdet sehen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
обещать кому-либо что-либо в перспективе	jemandem etwas in Aussicht stellen	eine künftige Möglichkeit ankündigen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
быть совсем близко, почти достижимо	in greifbarer Nähe sein	bald erreichbar wirken	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
делать ставку на профессиональные дополнительные занятия	auf professionelle Nachhilfe setzen	externe Unterstützung bevorzugen	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
не жалеть на что-либо немалых денег	sich etwas einiges kosten lassen	viel Geld dafür ausgeben	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
надеяться, что что-либо принесёт успех	sich von etwas Erfolg erhoffen	eine positive Wirkung erwarten	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
прийти к мысли сделать что-либо	auf die Idee kommen, etwas zu tun	einen neuen Einfall haben	form::redewendung func::produktion topic::erziehung_und_ausbildung level::c2 source::erkundungen::c2::k4 card::chunk
