explizit	implizit	klar und direkt gesagt	nicht direkt gesagt, aber mitgemeint	Она сформулировала свое требование прямо и недвусмысленно.	Упрек прозвучал только между строк.	Sie formulierte ihre Forderung explizit und ohne Umschweife.	Der Vorwurf blieb implizit, war aber für alle deutlich spürbar.	antonym::pair level::c1 domain::communication domain::argumentation
präzise	vage	genau und eindeutig formuliert	nicht genau und ohne klare Konturen	Данные для договора должны быть точными до деталей.	Его объяснение осталось расплывчатым.	Die Angaben müssen präzise genug für den Vertrag sein.	Seine Erklärung blieb absichtlich vage.	antonym::pair level::c1 domain::communication
differenziert	pauschal	mit Blick auf Unterschiede und Nuancen	zu allgemein und ohne Unterschiede zu beachten	В статье проблему разбирают с учетом нюансов.	Он снова судит обо всех слишком огульно.	Im Artikel wird das Problem differenziert dargestellt.	Er urteilt über die ganze Gruppe viel zu pauschal.	antonym::pair level::c1 domain::argumentation
tiefgründig	oberflächlich	inhaltlich reich und gedanklich tief	ohne Tiefe und nur an der Oberfläche	Разговор оказался неожиданно глубоким.	Его комментарий прозвучал слишком поверхностно.	Unser Gespräch war überraschend tiefgründig.	Sein Kommentar blieb leider ziemlich oberflächlich.	antonym::pair level::c1 domain::abstract
subtil	plump	fein angedeutet und nicht aufdringlich	grob und ohne Feingefühl	Критика была сформулирована очень тонко и едва заметно.	Шутка вышла слишком грубой и топорной.	Die Kritik war so subtil formuliert, dass sie zuerst kaum jemand bemerkte.	Sein Witz war so plump, dass im Raum plötzlich Stille herrschte.	antonym::pair level::c1 domain::communication domain::style
komplex	einfach	aus vielen Teilen bestehend und schwer zu durchschauen	leicht zu verstehen oder umzusetzen	Проблема оказалась гораздо сложнее, чем мы думали.	Решение на деле довольно простое.	Das Problem ist deutlich komplexer, als wir anfangs dachten.	Die Lösung ist zum Glück ganz einfach.	antonym::pair level::c1 domain::abstract
plausibel	unplausibel	nachvollziehbar und glaubhaft	schwer glaubhaft und wenig schlüssig	Его версия звучит вполне правдоподобно.	Это объяснение кажется мне неправдоподобным.	Seine Version klingt auch nach Rückfragen noch plausibel.	Diese Erklärung wirkt auf mich weiterhin unplausibel.	antonym::pair level::c1 domain::argumentation
stichhaltig	unstichhaltig	gut begründet und überzeugend	argumentativ schwach und nicht tragfähig	Это действительно весомый аргумент.	Возражение оказалось несостоятельным.	Das ist ein stichhaltiges Argument gegen den Plan.	Bei näherem Hinsehen erwies sich der Einwand als unstichhaltig.	antonym::pair level::c1 domain::argumentation
legitim	illegitim	berechtigt und allgemein anerkannt	ohne berechtigte Grundlage oder Anerkennung	Такое требование в этой ситуации вполне оправданно.	Его претензия на эти полномочия выглядит неправомерной.	Die Forderung nach klaren Regeln ist in dieser Situation legitim.	Sein Anspruch auf diese Sonderrechte wirkte von Anfang an illegitim.	antonym::pair level::c1 domain::society domain::argumentation
zulässig	unzulässig	nach den Regeln erlaubt	nach den Regeln nicht erlaubt	Такой перенос срока здесь допустим.	Такой вопрос на экзамене недопустим.	In diesem Verfahren ist eine Fristverlängerung zulässig.	Eine solche Frage wäre in der Prüfung unzulässig.	antonym::pair level::c1 domain::law
wesentlich	unwesentlich	von zentraler Bedeutung	ohne großen Einfluss oder Bedeutung	Это различие действительно существенно.	Подробность оказалась несущественной.	Dieser Unterschied ist wesentlich.	Das Detail war letztlich unwesentlich.	antonym::pair level::c1 domain::abstract
