не иметь представления о чём-либо	sich keinen Begriff von etwas machen	keine Vorstellung davon haben	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
ускользать от любых попыток понять или охватить	jedem Zugriff entschlüpfen	sich nicht erfassen lassen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
лишить кого-либо почвы под ногами; выбить из колеи	jemandem den Boden unter den Füßen wegziehen	jmdn. völlig verunsichern	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
быть чем-то неприемлемым; быть настоящим испытанием	eine Zumutung sein	unzumutbar oder sehr belastend sein	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
быть лишённым всякой логики	jeglicher Logik entbehren	völlig unlogisch sein	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
принять вызов; взяться за трудную задачу	sich einer Herausforderung stellen	eine schwierige Aufgabe annehmen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
сохранять общее представление о ситуации; не терять нить	den Überblick behalten	alles Wesentliche im Auge haben	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
иметь дело с чем-либо	es mit etwas zu tun haben	mit einer Sache konfrontiert sein	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
не говоря уже о чём-либо	von etwas ganz zu schweigen	einen weiteren Punkt gar nicht erwähnen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
вежливо отказаться	dankend ablehnen	ein Angebot höflich zurückweisen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
перейти к делу; начать действовать	zur Tat schreiten	mit dem Handeln beginnen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
не довольствоваться чем-либо	sich mit etwas nicht zufriedengeben	mehr verlangen als das Vorhandene	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
иметь все преимущества на своей стороне	Vorteile auf seiner Seite haben	günstigere Bedingungen besitzen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
основательно заниматься чем-либо; разбираться с чем-либо	sich mit etwas auseinandersetzen	eine Sache gründlich behandeln	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
возражать против определённой точки зрения	einer Auffassung entgegentreten	eine Ansicht argumentativ zurückweisen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
не отпускать кого-либо; не выходить у кого-либо из головы	jemanden nicht loslassen	jmdn. dauerhaft beschäftigen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
принять что-либо во внимание; рассмотреть возможность	etwas in Betracht ziehen	eine Möglichkeit ernsthaft erwägen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
сделать выбор	eine Wahl treffen	sich für eine Möglichkeit entscheiden	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
возмущаться чем-либо; находить что-либо предосудительным	Anstoß an etwas nehmen	sich über etwas empören	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
не подлежать сомнению	außer Zweifel stehen	völlig sicher sein	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
доказать что-либо на деле	etwas unter Beweis stellen	eine Fähigkeit praktisch zeigen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
Коммуникация формирует общества и объединяет их.	Kommunikation bildet Gesellschaften und hält sie zusammen.	gesellschaftliche Bindung durch Austausch	form::satz func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::satz
Кроме того, правильное употребление языка отнюдь не гарантирует успешной коммуникации.	Zudem ist korrekte Sprachanwendung keineswegs ein Garant für erfolgreiche Kommunikation.	Sprachrichtigkeit allein genügt nicht	form::satz func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::satz
быть обусловленным чем-либо; объясняться чем-либо	auf etwas zurückzuführen sein	eine bestimmte Ursache haben	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
обладать необходимыми предпосылками	Voraussetzungen mitbringen	erforderliche Grundlagen besitzen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
составить верное представление о ком-либо	ein zutreffendes Bild von jemandem anfertigen	jmdn. realistisch einschätzen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
что-либо предполагает готовность сделать что-либо	etwas setzt die Bereitschaft voraus, etwas zu tun	eine innere Haltung als Bedingung verlangen	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
обойти рифы и мели; избежать многочисленных трудностей	Klippen und Untiefen umschiffen	Schwierigkeiten geschickt vermeiden	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
согласно приблизительной оценке	einer Schätzung zufolge	nach einer ungefähren Berechnung	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
основываться на чём-либо	auf etwas beruhen	seine Grundlage in einer Sache haben	form::redewendung func::produktion topic::sprache_und_kommunikation level::c2 source::erkundungen::c2::k1 card::chunk
