считать что-либо высшей нравственной заповедью	etwas für das oberste moralische Gebot halten	als höchste ethische Pflicht ansehen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
давать кому-либо психологическую опору	jemandem psychischen Halt geben	seelisch stabilisieren	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
стоять на первом месте	an erster Stelle stehen	höchste Priorität haben	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
приукрашивать или искажать правду	die Wahrheit frisieren	eine Aussage beschönigen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
открыть кому-либо возможность сделать что-либо	jemandem die Möglichkeit eröffnen, etwas zu tun	eine neue Option schaffen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
избежать конфронтации без борьбы	einer Konfrontation kampflos ausweichen	einen Konflikt ohne Auseinandersetzung umgehen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
избавить кого-либо от огорчений	jemandem Kummer ersparen	jmdn. vor seelischem Schmerz bewahren	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
остаться почти в полном одиночестве	ziemlich alleine dastehen	kaum noch Unterstützung haben	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
выдвигать причины как предлог	Gründe vorschieben	die wahren Motive verbergen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
скрыть супружескую измену	einen Seitensprung verschweigen	eine Affäre nicht erwähnen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
злоупотребить чьим-либо доверием	jemandes Vertrauen missbrauchen	eine persönliche Bindung ausnutzen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
считать кого-либо способным на что-либо; ожидать от кого-либо	jemandem etwas zutrauen	an jmds. Fähigkeit glauben	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
строить самооценку на иллюзиях	sein Selbstwertgefühl auf Illusionen aufbauen	das Selbstbild unrealistisch begründen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
создавать ложное представление о фактах	falsche Tatsachen vorspiegeln	eine unwahre Realität vortäuschen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
выступать в роли самозванца или мошенника	sich als Hochstapler betätigen	andere über die eigene Identität täuschen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
действовать хитро и изобретательно	sich raffiniert anstellen	sehr geschickt vorgehen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
поставить себя на место другого человека	sich in jemanden hineinversetzen	jmds. Perspektive einnehmen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
подсунуть кому-либо выдуманную историю; рассказать небылицу как правду	jemandem eine Geschichte auftischen	eine erfundene Darstellung erzählen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
стремиться сделать что-либо; иметь целью	darauf abzielen, etwas zu tun	einen bestimmten Zweck verfolgen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
быть солью жизни	das Salz des Lebens sein	das Dasein interessanter machen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
рассказывать кому-либо небылицы	jemandem Märchen erzählen	Unwahres berichten	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
навешать кому-либо лапши на уши	jemandem einen Bären aufbinden	jmdn. mit einer Lüge täuschen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
разыграть кого-либо первого апреля	jemanden in den April schicken	einen Aprilscherz machen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
ввести кого-либо в заблуждение; выдать одно за другое	jemandem ein X für ein U vormachen	jmdn. offensichtlich täuschen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
нагло лгать кому-либо без меры	jemandem die Hucke volllügen	jmdn. massiv belügen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
обманывать самого себя; выдавать желаемое за действительное	sich in die eigene Tasche lügen	sich selbst etwas vormachen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
лгать безбожно, так что балки гнутся	lügen, dass sich die Balken biegen	äußerst dreist Unwahres sagen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
лгать с три короба; выдумывать что угодно	das Blaue vom Himmel herunterlügen	völlig hemmungslos Unwahres erzählen	form::redewendung func::produktion topic::stärken_und_schwächen level::c2 source::erkundungen::c2::k3 card::chunk
